Comment,Designator,Footprint,LCSC
1k,"R14,R9",R_0402_1005Metric,C11702
Flash,"SW1,SW2",SW_Push_1P1T_NO_6x6mm_H9.5mm,C127509
D,"CN6,CN7",JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,C131334
CH340G,U3,SOIC-16_3.9x9.9mm_P1.27mm,C14267
100uF,C1,C_1206_3216Metric,C15008
100nF,"C8,C9",C_0402_1005Metric,C1525
470pF,C3,C_0402_1005Metric,C1537
12pF,"C5,C6",C_0402_1005Metric,C1547
10uF,"C4,C7",C_0402_1005Metric,C15525
A,CN2,JST_PH_B8B-PH-K_1x08_P2.00mm_Vertical,C157974
C,CN4,JST_PH_B5B-PH-K_1x05_P2.00mm_Vertical,C157993
USB_C,CN1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948
Pwr,LD1,LED_0603_1608Metric,C2286
User,LD2,LED_0603_1608Metric,C2288
470,"R10,R11",R_0402_1005Metric,C25117
10k,"R12,R13",R_0402_1005Metric,C25744
5k1,"R1,R2",R_0402_1005Metric,C25905
C_Pwr_Jmp,"JP1,JP2,JP3,JP4",PinHeader_1x03_P2.54mm_Vertical,C390679
1uF,C2,C_0402_1005Metric,C52923
ESP32-WROOM-32E,U1,ESP32-WROOM-32,C701342
B,"CN3,CN8,CN9","TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal",C72334
PWR,CN5,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",C8465
SS34,D1,D_SMA,C8678
Crystal,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C9002
SPX3819M5-L-3-3,U2,SOT-23-5,C9055
