Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100uF,C_1206_3216Metric,106.621,-57.0992,0.0,top
C2,1uF,C_0402_1005Metric,111.1168,-117.6528,-90.0,top
C3,470pF,C_0402_1005Metric,109.9738,-117.6528,90.0,top
C4,10uF,C_0402_1005Metric,108.8308,-117.6528,90.0,top
C5,12pF,C_0402_1005Metric,121.7848,-107.3658,0.0,top
C6,12pF,C_0402_1005Metric,121.7848,-112.9538,180.0,top
C7,10uF,C_0402_1005Metric,118.2288,-119.4308,0.0,top
C8,100nF,C_0402_1005Metric,118.2288,-120.5738,0.0,top
C9,100nF,C_0402_1005Metric,121.4038,-114.2746,0.0,top
CN1,USB_C,USB_C_Receptacle_HRO_TYPE-C-31-M-12,119.2448,-132.0038,0.0,top
CN2,A,JST_PH_B8B-PH-K_1x08_P2.00mm_Vertical,133.6046,-72.7352,90.0,top
CN3,B,"TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal",106.4938,-101.1378,-90.0,top
CN4,C,JST_PH_B5B-PH-K_1x05_P2.00mm_Vertical,104.8938,-86.5378,-90.0,top
CN5,PWR,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",131.8688,-116.7688,90.0,top
CN6,D,JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,104.9358,-73.9338,-90.0,top
CN7,E,JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,104.8938,-61.6458,-90.0,top
CN8,F,"TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal",131.9448,-88.8288,90.0,top
CN9,G,"TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal",131.8688,-105.2118,90.0,top
D1,SS34,D_SMA,122.0388,-122.0978,90.0,top
JP1,C_Pwr_Jmp,PinHeader_1x03_P2.54mm_Vertical,113.6718,-90.3478,90.0,top
JP2,D_Pwr_Jmp,PinHeader_1x03_P2.54mm_Vertical,113.6718,-86.2838,90.0,top
JP3,E_Pwr_Jmp,PinHeader_1x03_P2.54mm_Vertical,113.6718,-78.1558,90.0,top
JP4,A_Pwr_Jmp,PinHeader_1x03_P2.54mm_Vertical,113.6718,-82.2198,90.0,top
LD1,Pwr,LED_0603_1608Metric,110.8628,-130.2258,90.0,top
LD2,User,LED_0603_1608Metric,127.8808,-130.2258,90.0,top
R1,5k1,R_0402_1005Metric,116.8826,-123.0884,180.0,top
R2,5k1,R_0402_1005Metric,116.8826,-124.1806,180.0,top
R9,1k,R_0402_1005Metric,109.3388,-130.4798,90.0,top
R10,470,R_0402_1005Metric,121.4018,-116.7638,0.0,top
R11,470,R_0402_1005Metric,121.4018,-115.4938,0.0,top
R12,10k,R_0402_1005Metric,124.9598,-122.0978,0.0,top
R13,10k,R_0402_1005Metric,113.5552,-122.1232,180.0,top
R14,1k,R_0402_1005Metric,129.4048,-130.7338,90.0,top
SW1,Flash,SW_Push_1P1T_NO_6x6mm_H9.5mm,131.3098,-124.3838,180.0,top
SW2,Reset,SW_Push_1P1T_NO_6x6mm_H9.5mm,107.1798,-124.3838,180.0,top
U1,ESP32-WROOM-32E,ESP32-WROOM-32,119.2448,-64.6938,0.0,top
U2,SPX3819M5-L-3-3,SOT-23-5,106.2908,-117.7798,-90.0,top
U3,CH340G,SOIC-16_3.9x9.9mm_P1.27mm,116.1968,-113.2078,180.0,top
Y1,Crystal,Crystal_SMD_3225-4Pin_3.2x2.5mm,121.7848,-110.1598,-90.0,top
